CPU Name,Cores,CPU Mark -,Thread Mark -
AMD 3015e,2,"2,720","1,391"
AMD 3020e,2,"2,493","1,428"
AMD A10 Micro-6700T APU,4,"1,345",700
AMD A10 PRO-7350B APU,4,"1,910",911
AMD A10-4600M APU,2,"1,923","1,067"
AMD A10-4655M APU,2,"1,637",902
AMD A10-4657M APU,4,"1,759",940
AMD A10-5745M APU,4,"1,743",982
AMD A10-5750M APU,4,"1,902","1,097"
AMD A10-5757M APU,4,"1,985","1,107"
AMD A10-7300 APU,4,"1,708",842
AMD A10-7400P,4,"2,106","1,060"
AMD A10-8700P,2,"2,265","1,150"
AMD A10-9600P,4,"2,218","1,064"
AMD A10-9620P,4,"2,518","1,279"
AMD A10-9630P,4,"2,899","1,355"
AMD A12-9700P,4,"2,422","1,188"
AMD A12-9720P,4,"2,608","1,326"
AMD A12-9730P,4,"3,172","1,487"
AMD A4 Micro-6400T APU,4,"1,004",530
AMD A4 PRO-3340B,4,"1,652",657
AMD A4-1200 APU,2,391,295
AMD A4-1250 APU,2,432,338
AMD A4-3300M APU,2,683,766
AMD A4-3305M APU,2,727,819
AMD A4-3310MX APU,2,821,878
AMD A4-3320M APU,2,640,656
AMD A4-3330MX APU,2,752,910
AMD A4-4300M APU,1,971,976
AMD A4-4355M APU,2,818,828
AMD A4-5000 APU,4,"1,289",510
AMD A4-5050 APU,4,"1,328",538
AMD A4-5100 APU,4,"1,346",540
AMD A4-5150M APU,2,753,700
AMD A4-6210 APU,4,"1,478",607
AMD A4-7210 APU,4,"1,683",730
AMD A4-9120,2,"1,229","1,059"
AMD A4-9120C,2,894,953
AMD A4-9120e,2,899,783
AMD A4-9125,2,"1,211","1,039"
AMD A6 Micro-6500T APU,4,"1,146",630
AMD A6 PRO-7050B APU,2,"1,027",905
AMD A6-1450 APU,4,"1,117",468
AMD A6-3400M APU,4,"1,226",717
AMD A6-3410MX APU,4,"1,176",712
AMD A6-3420M APU,4,"1,262",788
AMD A6-3430MX APU,4,"1,448",822
AMD A6-4400M APU,1,"1,026","1,043"
AMD A6-4455M APU,1,795,788
AMD A6-5200 APU,4,"1,646",657
AMD A6-5345M APU,2,"1,122","1,094"
AMD A6-5350M APU,2,"1,142","1,197"
AMD A6-5357M APU,2,"1,260","1,268"
AMD A6-6310 APU,4,"1,666",750
AMD A6-7000,2,"1,010",857
AMD A6-7310 APU,4,"1,736",787
AMD A6-8500P,2,"1,466","1,272"
AMD A6-9200,2,"1,062",925
AMD A6-9210,2,"1,260","1,101"
AMD A6-9220,2,"1,287","1,140"
AMD A6-9220C,2,"1,159","1,018"
AMD A6-9220e,2,937,819
AMD A6-9225,2,"1,334","1,179"
AMD A6-9400,2,"2,717","1,664"
AMD A8 PRO-7150B APU,4,"1,557",789
AMD A8-3500M APU,4,"1,308",781
AMD A8-3510MX APU,4,"1,457",826
AMD A8-3520M APU,4,"1,395",841
AMD A8-3530MX APU,4,"1,570",933
AMD A8-3550MX APU,4,"1,579",938
AMD A8-4500M APU,2,"1,622",887
AMD A8-4555M APU,2,"1,307",788
AMD A8-5545M APU,4,"1,605",873
AMD A8-5550M APU,4,"1,858","1,042"
AMD A8-5557M APU,4,"1,774","1,084"
AMD A8-6410 APU,4,"1,775",786
AMD A8-7050,2,"1,129",890
AMD A8-7100 APU,4,"1,644",847
AMD A8-7200P,4,"2,135","1,092"
AMD A8-7410 APU,4,"1,800",799
AMD A8-7680,4,"3,565","1,635"
AMD A8-8600P,2,"2,240","1,103"
AMD A9-9400,2,"1,390","1,246"
AMD A9-9410,2,"1,504","1,317"
AMD A9-9420,2,"1,515","1,318"
AMD A9-9420e,2,"1,139",999
AMD A9-9425,2,"1,528","1,342"
AMD Athlon 220GE,2,"4,471","1,986"
AMD Athlon 300U,2,"4,006","1,844"
AMD Athlon 64 X2 QL-60,2,465,557
AMD Athlon 64 X2 QL-62,2,553,685
AMD Athlon 64 X2 QL-64,2,622,732
AMD Athlon 64 X2 QL-65,2,609,653
AMD Athlon 64 X2 QL-66,2,641,751
AMD Athlon 64 X2 QL-67,2,582,515
AMD Athlon Gold 3150U,2,"4,034","1,783"
AMD Athlon II Neo K125,1,302,613
AMD Athlon II Neo K145,1,298,592
AMD Athlon II Neo K325 Dual-Core,2,387,472
AMD Athlon II Neo K345 Dual-Core,2,527,552
AMD Athlon II Neo N36L Dual-Core,2,478,521
AMD Athlon Silver 3050e,2,"2,911","1,459"
AMD Athlon Silver 3050GE,2,"4,545","2,016"
AMD Athlon Silver 3050U,2,"3,064","1,712"
AMD Athlon X2 Dual Core L310,2,379,434
AMD C-30,1,178,375
AMD C-50,2,260,315
AMD E-240,1,182,385
AMD E-300 APU,2,359,401
AMD E-350,2,420,494
AMD E-350 APU,2,401,482
AMD E-450 APU,2,422,498
AMD E1 Micro-6200T APU,2,600,498
AMD E1-1200 APU,2,374,426
AMD E1-1500 APU,2,390,458
AMD E1-2100 APU,2,410,329
AMD E1-2200 APU,2,474,368
AMD E1-2500 APU,2,597,467
AMD E1-6010 APU,2,522,419
AMD E1-6015 APU,2,558,440
AMD E1-7010 APU,2,582,492
AMD E2-2000 APU,2,501,555
AMD E2-3000 APU,2,726,547
AMD E2-3000M APU,2,665,735
AMD E2-3800 APU,4,"1,124",447
AMD E2-6110 APU,4,"1,121",466
AMD E2-7110 APU,4,"1,527",615
AMD E2-9000,2,958,801
AMD E2-9000e,2,832,725
AMD E2-9010,2,991,871
AMD Embedded G-Series GX-215JJ Radeon R2E,2,"1,057",869
AMD Embedded G-Series GX-224IJ Radeon R4E,2,"1,271","1,119"
AMD Embedded G-Series GX-420GI Radeon R7E,4,"1,561",854
AMD Embedded R-Series RX-216GD,2,"1,628","1,313"
AMD Embedded R-Series RX-418GD Radeon R6,4,"3,426","1,467"
AMD Embedded R-Series RX-421BD,4,"3,302","1,477"
AMD FX-7500 APU,4,"1,832",911
AMD FX-7600P,4,"2,481","1,208"
AMD FX-7600P APU,4,"2,856","1,436"
AMD FX-8800P,2,"2,801","1,371"
AMD FX-9800P,4,"2,262","1,137"
AMD FX-9830P,4,"3,252","1,563"
AMD G-T40E,2,289,313
AMD G-T40N,2,292,321
AMD G-T40R,1,120,327
AMD G-T44R,1,130,328
AMD G-T48E,2,416,454
AMD G-T52R,1,177,381
AMD G-T56E,2,442,522
AMD G-T56N,2,470,520
AMD GX-210JA SOC,2,248,231
AMD GX-212JC SOC,2,619,453
AMD GX-217GA SOC,2,762,558
AMD GX-218GL SOC,2,754,627
AMD GX-222GC SOC,2,"1,038",819
AMD GX-412HC,4,"1,065",412
AMD GX-415GA SOC,4,"1,386",520
AMD GX-420CA SOC,4,"1,767",669
AMD GX-420MC SOC,4,"1,796",695
AMD GX-424CC SOC,4,"1,722",797
AMD Phenom II N620 Dual-Core,2,990,"1,069"
AMD Phenom II N640 Dual-Core,2,965,"1,039"
AMD Phenom II N660 Dual-Core,2,"1,065","1,167"
AMD Phenom II N830 3+1,4,"1,768",935
AMD Phenom II N830 Triple-Core,3,"1,137",798
AMD Phenom II N850 Triple-Core,3,"1,253",882
AMD Phenom II N870 Triple-Core,3,"1,139",858
AMD Phenom II N930 Quad-Core,4,"1,558",825
AMD Phenom II N950 Quad-Core,4,"1,538",854
AMD Phenom II N970 Quad-Core,4,"1,647",902
AMD Phenom II P650 Dual-Core,2,933,985
AMD Phenom II P820 Triple-Core,3,"1,068",717
AMD Phenom II P840 Triple-Core,3,"1,116",790
AMD Phenom II P860 Triple-Core,3,"1,214",831
AMD Phenom II P920 Quad-Core,4,"1,160",598
AMD Phenom II P940 Quad-Core,4,"1,319",679
AMD Phenom II P960 Quad-Core,4,"1,412",740
AMD Phenom II X620 Dual-Core,2,"1,262","1,339"
AMD Phenom II X920 Quad-Core,4,"1,669",944
AMD Phenom II X940 Quad-Core,4,"1,797",785
AMD PRO A10-8700B,2,"2,262","1,140"
AMD PRO A10-8730B,4,"2,388","1,226"
AMD PRO A10-9700B,4,"2,602","1,311"
AMD PRO A12-8800B,2,"2,622","1,357"
AMD PRO A12-8830B,4,"2,392","1,192"
AMD PRO A12-9800B,4,"2,729","1,387"
AMD PRO A4-3350B APU,4,"1,702",779
AMD PRO A4-4350B,2,"1,093",988
AMD PRO A6-7350B,2,"1,679","1,535"
AMD PRO A6-8500B,2,"1,704","1,365"
AMD PRO A6-8530B,2,"1,498","1,271"
AMD PRO A6-9500B,2,"1,340","1,108"
AMD PRO A8-8600B,4,"2,160","1,096"
AMD PRO A8-9600B,4,"2,388","1,310"
AMD QC-4000,4,"1,155",449
AMD R-260H APU,2,954,902
AMD R-272F APU,2,"1,215","1,087"
AMD R-460L APU,4,"1,183",776
AMD RX-427BB,4,"2,729","1,297"
AMD Ryzen 3 2200U,2,"3,690","1,682"
AMD Ryzen 3 2300U,4,"5,507","1,745"
AMD Ryzen 3 3200U,2,"3,891","1,825"
AMD Ryzen 3 3250C,2,"2,595","1,782"
AMD Ryzen 3 3250U,2,"3,984","1,846"
AMD Ryzen 3 3300U,4,"5,867","1,905"
AMD Ryzen 3 3350U,4,"5,947","1,985"
AMD Ryzen 3 4300U,4,"7,567","2,324"
AMD Ryzen 3 5300U,4,"10,098","2,403"
AMD Ryzen 3 5400U,4,"11,839","2,893"
AMD Ryzen 3 5425U,4,"9,641","2,788"
AMD Ryzen 3 PRO 2300U,4,"6,069","1,869"
AMD Ryzen 3 PRO 3200GE,4,"7,071","2,189"
AMD Ryzen 3 PRO 3300U,4,"6,144","2,060"
AMD Ryzen 3 PRO 4200GE,4,"10,930","2,540"
AMD Ryzen 3 PRO 4450U,4,"10,139","2,364"
AMD Ryzen 3 PRO 5450U,4,"11,453","2,847"
AMD Ryzen 5 2500U,4,"6,551","1,833"
AMD Ryzen 5 2600H,4,"7,836","2,136"
AMD Ryzen 5 3450U,4,"6,808","1,934"
AMD Ryzen 5 3500C,4,"4,905","2,153"
AMD Ryzen 5 3500U,4,"7,098","1,980"
AMD Ryzen 5 3550H,4,"7,993","2,077"
AMD Ryzen 5 3580U,4,"7,827","2,121"
AMD Ryzen 5 4500U,6,"11,103","2,455"
AMD Ryzen 5 4600H,6,"14,739","2,461"
AMD Ryzen 5 4600HS,6,"14,735","2,468"
AMD Ryzen 5 4600U,6,"13,603","2,415"
AMD Ryzen 5 5500U,6,"13,172","2,456"
AMD Ryzen 5 5600H,6,"17,155","2,979"
AMD Ryzen 5 5600U,6,"15,299","2,934"
AMD Ryzen 5 5625U,6,"15,108","3,051"
AMD Ryzen 5 PRO 2500U,4,"6,889","1,819"
AMD Ryzen 5 PRO 3500U,4,"6,937","1,958"
AMD Ryzen 5 PRO 4400GE,6,"14,795","2,664"
AMD Ryzen 5 PRO 4500U,6,"12,049","2,486"
AMD Ryzen 5 PRO 4650U,6,"12,941","2,470"
AMD Ryzen 5 PRO 5650U,6,"15,405","2,961"
AMD Ryzen 7 2700U,4,"6,871","1,799"
AMD Ryzen 7 2800H,4,"7,656","2,164"
AMD Ryzen 7 3700C,4,"7,145","2,301"
AMD Ryzen 7 3700U,4,"7,312","2,012"
AMD Ryzen 7 3750H,4,"8,274","2,103"
AMD Ryzen 7 3780U,4,"7,651","2,227"
AMD Ryzen 7 4700U,8,"13,648","2,553"
AMD Ryzen 7 4800H,8,"19,062","2,638"
AMD Ryzen 7 4800HS,8,"18,882","2,608"
AMD Ryzen 7 4800U,8,"17,085","2,603"
AMD Ryzen 7 4850U Mobile,8,"15,920","2,653"
AMD Ryzen 7 5700U,8,"16,172","2,621"
AMD Ryzen 7 5800H,8,"21,465","3,082"
AMD Ryzen 7 5800HS,8,"20,633","3,058"
AMD Ryzen 7 5800HS Creator Edition,8,"20,948","3,101"
AMD Ryzen 7 5800U,8,"18,851","3,097"
AMD Ryzen 7 5825U,8,"17,776","3,007"
AMD Ryzen 7 6800H,8,"23,278","3,338"
AMD Ryzen 7 Extreme Edition,8,"18,209","2,666"
AMD Ryzen 7 PRO 2700U,4,"7,314","2,040"
AMD Ryzen 7 PRO 3700U,4,"7,310","2,009"
AMD Ryzen 7 PRO 4750U,8,"15,513","2,561"
AMD Ryzen 7 PRO 5850U,8,"17,681","3,079"
AMD Ryzen 7 PRO 5875U,8,"20,369","2,919"
AMD Ryzen 9 4900H,8,"19,343","2,734"
AMD Ryzen 9 4900HS,8,"19,437","2,631"
AMD Ryzen 9 5900H,8,"20,960","3,312"
AMD Ryzen 9 5900HS,8,"22,264","3,209"
AMD Ryzen 9 5900HX,8,"23,157","3,231"
AMD Ryzen 9 5980HS,8,"21,412","3,145"
AMD Ryzen 9 5980HX,8,"23,253","3,328"
AMD Ryzen 9 6900HS,8,"24,478","3,368"
AMD Ryzen Embedded R1305G,2,"3,268","1,668"
AMD Ryzen Embedded R1505G,2,"3,966","1,817"
AMD Ryzen Embedded V1202B,2,"3,253","1,424"
AMD Ryzen Embedded V1605B,4,"6,795","1,962"
AMD Ryzen Embedded V1807B,4,"8,488","2,190"
AMD Sempron M120,1,247,559
AMD Sempron SI-40,1,252,582
AMD Sempron SI-42,1,261,650
AMD Turion 64 Mobile MK-36,1,334,735
AMD Turion 64 Mobile MK-38,1,362,801
AMD Turion 64 Mobile ML-28,1,254,314
AMD Turion 64 Mobile ML-30,1,277,314
AMD Turion 64 Mobile ML-32,1,285,321
AMD Turion 64 Mobile ML-34,1,277,329
AMD Turion 64 Mobile ML-37,1,334,510
AMD Turion 64 Mobile ML-40,1,336,662
AMD Turion 64 Mobile ML-42,1,400,455
AMD Turion 64 Mobile ML-44,1,384,469
AMD Turion 64 Mobile MT-30,1,246,294
AMD Turion 64 Mobile MT-32,1,286,367
AMD Turion 64 Mobile MT-34,1,279,328
AMD Turion 64 Mobile MT-37,1,315,379
AMD Turion 64 X2 Mobile TL-50,2,436,525
AMD Turion 64 X2 Mobile TL-52,2,384,497
AMD Turion 64 X2 Mobile TL-56,2,453,579
AMD Turion 64 X2 Mobile TL-58,2,478,552
AMD Turion 64 X2 Mobile TL-60,2,591,688
AMD Turion 64 X2 Mobile TL-62,2,738,758
AMD Turion 64 X2 Mobile TL-64,2,675,702
AMD Turion 64 X2 Mobile TL-66,2,627,816
AMD Turion 64 X2 Mobile TL-68,2,861,887
AMD Turion Dual-Core RM-70,2,561,548
AMD Turion Dual-Core RM-72,2,649,725
AMD Turion Dual-Core RM-74,2,588,595
AMD Turion Dual-Core RM-75,2,659,444
AMD Turion II Dual-Core Mobile M500,2,760,866
AMD Turion II Dual-Core Mobile M520,2,830,927
AMD Turion II Dual-Core Mobile M540,2,912,967
AMD Turion II N530 Dual-Core,2,855,968
AMD Turion II N550 Dual-Core,2,877,891
AMD Turion II Neo K625 Dual-Core,2,565,596
AMD Turion II Neo K685 Dual-Core,2,684,729
AMD Turion II Neo N40L Dual-Core,2,589,609
AMD Turion II Neo N54L Dual-Core,2,741,840
AMD Turion II P520 Dual-Core,2,790,892
AMD Turion II P540 Dual-Core,2,884,843
AMD Turion II P560 Dual-Core,2,818,931
AMD Turion II Ultra Dual-Core Mobile M600,2,923,982
AMD Turion II Ultra Dual-Core Mobile M620,2,814,945
AMD Turion II Ultra Dual-Core Mobile M640,2,"1,016","1,063"
AMD Turion II Ultra Dual-Core Mobile M660,2,"1,011","1,103"
AMD Turion Neo X2 Dual Core L625,2,431,530
AMD Turion X2 Dual Core L510,2,603,593
AMD Turion X2 Dual Core Mobile RM-70,2,497,504
AMD Turion X2 Dual Core Mobile RM-76,2,691,729
AMD Turion X2 Dual-Core Mobile RM-70,2,624,663
AMD Turion X2 Dual-Core Mobile RM-72,2,666,751
AMD Turion X2 Dual-Core Mobile RM-74,2,623,730
AMD Turion X2 Dual-Core Mobile RM-75,2,708,770
AMD Turion X2 Dual-Core Mobile RM-77,2,635,753
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,2,521,628
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,2,654,789
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,2,793,778
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,2,730,828
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,2,695,820
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,2,689,758
AMD TurionX2 Dual Core Mobile RM-70,2,536,674
AMD TurionX2 Dual Core Mobile RM-72,2,471,392
AMD TurionX2 Ultra DualCore Mobile ZM-85,2,841,686
AMD V105,1,184,452
AMD V120,1,362,812
AMD V140,1,379,869
AMD V160,1,337,838
AMD Z-60 APU,2,262,318
Apple M1 8 Core 3200 MHz,8,"14,736","3,764"
Apple M1 Max 10 Core 3200 MHz,10,"22,608","3,850"
Apple M1 Pro 10 Core 3200 MHz,10,"22,358","3,845"
Apple M1 Pro 8 Core 3200 MHz,8,"17,564","3,813"
Celeron Dual-Core T3000 @ 1.80GHz,2,629,739
Celeron Dual-Core T3100 @ 1.90GHz,2,519,566
Celeron Dual-Core T3300 @ 2.00GHz,2,627,692
Celeron Dual-Core T3500 @ 2.10GHz,2,768,872
Intel Atom C2338 @ 1.74GHz,2,584,233
Intel Atom C2358 @ 1.74GHz,2,625,291
Intel Atom C2538 @ 2.40GHz,4,960,491
Intel Atom C2558 @ 2.40GHz,4,"1,410",358
Intel Atom C2758 @ 2.40GHz,8,"2,056",333
Intel Atom D2701 @ 2.13GHz,2,511,384
Intel Atom E3826 @ 1.46GHz,2,304,395
Intel Atom E3827 @ 1.74GHz,2,460,455
Intel Atom E3900 @ 1.60GHz,4,"1,953",675
Intel Atom E3940 @ 1.60GHz,4,"1,960",676
Intel Atom E3950 @ 1.60GHz,4,"2,092",737
Intel Atom N2100 @ 1.60GHz,1,188,310
Intel Atom N2600 @ 1.60GHz,2,323,292
Intel Atom N270 @ 1.60GHz,1,175,164
Intel Atom N280 @ 1.66GHz,1,175,226
Intel Atom N2800 @ 1.86GHz,2,429,319
Intel Atom N450 @ 1.66GHz,1,177,270
Intel Atom N455 @ 1.66GHz,1,179,257
Intel Atom N470 @ 1.83GHz,1,224,308
Intel Atom N475 @ 1.83GHz,1,179,281
Intel Atom N550 @ 1.50GHz,2,265,243
Intel Atom N570 @ 1.66GHz,2,335,282
Intel Atom T5700 @ 1.70GHz,4,"2,030",816
Intel Atom x5-E3930 @ 1.30GHz,2,878,617
Intel Atom x5-E8000 @ 1.04GHz,4,985,509
Intel Atom x5-Z8300 @ 1.44GHz,4,821,463
Intel Atom x5-Z8330 @ 1.44GHz,4,822,472
Intel Atom x5-Z8350 @ 1.44GHz,4,911,484
Intel Atom x5-Z8500 @ 1.44GHz,4,"1,238",628
Intel Atom x5-Z8550 @ 1.44GHz,4,"1,190",705
Intel Atom x7-Z8700 @ 1.60GHz,4,"1,323",646
Intel Atom x7-Z8750 @ 1.60GHz,4,"1,373",697
Intel Atom Z2760 @ 1.80GHz,2,298,206
Intel Atom Z3580 @ 1.33GHz,4,820,564
Intel Atom Z3735D @ 1.33GHz,4,761,591
Intel Atom Z3735E @ 1.33GHz,4,557,478
Intel Atom Z3735F @ 1.33GHz,4,544,391
Intel Atom Z3735G @ 1.33GHz,4,806,487
Intel Atom Z3736F @ 1.33GHz,4,502,419
Intel Atom Z3740 @ 1.33GHz,4,651,423
Intel Atom Z3740D @ 1.33GHz,4,614,459
Intel Atom Z3745 @ 1.33GHz,4,621,435
Intel Atom Z3745D @ 1.33GHz,4,585,437
Intel Atom Z3770 @ 1.46GHz,4,738,542
Intel Atom Z3770D @ 1.49GHz,4,488,361
Intel Atom Z3775 @ 1.46GHz,4,754,538
Intel Atom Z3775D @ 1.49GHz,4,794,646
Intel Atom Z3795 @ 1.60GHz,4,"1,166",654
Intel Atom Z520 @ 1.33GHz,1,122,151
Intel Atom Z530 @ 1.60GHz,1,183,161
Intel Atom Z670 @ 1.50GHz,1,158,95
Intel Celeron 1000M @ 1.80GHz,2,"1,026",969
Intel Celeron 1005M @ 1.90GHz,2,"1,074","1,017"
Intel Celeron 1007U @ 1.50GHz,2,798,760
Intel Celeron 1017U @ 1.60GHz,2,888,821
Intel Celeron 1020E @ 2.20GHz,2,"1,406","1,224"
Intel Celeron 1020M @ 2.10GHz,2,"1,275","1,176"
Intel Celeron 1037U @ 1.80GHz,2,969,914
Intel Celeron 2000E @ 2.20GHz,2,"1,607","1,282"
Intel Celeron 2002E @ 1.50GHz,2,"1,091",871
Intel Celeron 215 @ 1.33GHz,1,174,440
Intel Celeron 2950M @ 2.00GHz,2,"1,237","1,150"
Intel Celeron 2955U @ 1.40GHz,2,835,765
Intel Celeron 2957U @ 1.40GHz,2,841,782
Intel Celeron 2961Y @ 1.10GHz,2,732,641
Intel Celeron 2970M @ 2.20GHz,2,"1,501","1,245"
Intel Celeron 2980U @ 1.60GHz,2,"1,056",929
Intel Celeron 2981U @ 1.60GHz,2,991,871
Intel Celeron 3205U @ 1.50GHz,2,918,879
Intel Celeron 3215U @ 1.70GHz,2,"1,144","1,060"
Intel Celeron 3755U @ 1.70GHz,2,"1,182","1,022"
Intel Celeron 3765U @ 1.90GHz,2,"1,252","1,171"
Intel Celeron 3855U @ 1.60GHz,2,"1,237",944
Intel Celeron 3865U @ 1.80GHz,2,"1,266","1,047"
Intel Celeron 3867U @ 1.80GHz,2,"1,488","1,097"
Intel Celeron 3955U @ 2.00GHz,2,"1,490","1,202"
Intel Celeron 3965U @ 2.20GHz,2,"1,692","1,356"
Intel Celeron 3965Y @ 1.50GHz,2,"1,179",889
Intel Celeron 4205U @ 1.80GHz,2,"1,341","1,057"
Intel Celeron 4305UE @ 2.00GHz,2,"1,876","1,213"
Intel Celeron 5205U @ 1.90GHz,2,"1,414","1,094"
Intel Celeron 530 @ 1.73GHz,1,268,468
Intel Celeron 540 @ 1.86GHz,1,283,496
Intel Celeron 550 @ 2.00GHz,1,301,613
Intel Celeron 560 @ 2.13GHz,1,365,498
Intel Celeron 570 @ 2.26GHz,1,344,431
Intel Celeron 6305 @ 1.80GHz,2,"2,211","1,229"
Intel Celeron 723 @ 1.20GHz,1,213,460
Intel Celeron 743 @ 1.30GHz,1,268,529
Intel Celeron 807 @ 1.50GHz,1,392,608
Intel Celeron 807UE @ 1.00GHz,1,241,421
Intel Celeron 827E @ 1.40GHz,1,371,674
Intel Celeron 847 @ 1.10GHz,2,470,483
Intel Celeron 847E @ 1.10GHz,2,584,520
Intel Celeron 857 @ 1.20GHz,2,569,476
Intel Celeron 867 @ 1.30GHz,2,562,584
Intel Celeron 877 @ 1.40GHz,2,642,627
Intel Celeron 887 @ 1.50GHz,2,727,694
Intel Celeron 900 @ 2.20GHz,1,404,847
Intel Celeron 925 @ 2.30GHz,1,444,846
Intel Celeron B710 @ 1.60GHz,1,106,101
Intel Celeron B800 @ 1.50GHz,2,649,645
