CPU Name,Cores,CPU Mark -,Thread Mark -
Intel Core i7-4578U @ 3.00GHz,2,"3,013","1,913"
Intel Core i7-4600M @ 2.90GHz,2,"3,174","1,854"
Intel Core i7-4600U @ 2.10GHz,2,"2,688","1,676"
Intel Core i7-4610M @ 3.00GHz,2,"3,002","1,740"
Intel Core i7-4650U @ 1.70GHz,2,"2,410","1,543"
Intel Core i7-4700HQ @ 2.40GHz,4,"5,564","1,785"
Intel Core i7-4700MQ @ 2.40GHz,4,"5,331","1,769"
Intel Core i7-4702HQ @ 2.20GHz,4,"5,305","1,651"
Intel Core i7-4702MQ @ 2.20GHz,4,"5,106","1,687"
Intel Core i7-4710HQ @ 2.50GHz,4,"5,509","1,782"
Intel Core i7-4710MQ @ 2.50GHz,4,"5,800","1,895"
Intel Core i7-4712HQ @ 2.30GHz,4,"5,188","1,684"
Intel Core i7-4712MQ @ 2.30GHz,4,"5,262","1,787"
Intel Core i7-4720HQ @ 2.60GHz,4,"5,772","1,871"
Intel Core i7-4722HQ @ 2.40GHz,4,"5,620","1,844"
Intel Core i7-4750HQ @ 2.00GHz,4,"5,599","1,733"
Intel Core i7-4760HQ @ 2.10GHz,4,"6,300","1,944"
Intel Core i7-4770HQ @ 2.20GHz,4,"6,121","1,935"
Intel Core i7-4800MQ @ 2.70GHz,4,"5,808","1,939"
Intel Core i7-4810MQ @ 2.80GHz,4,"6,044","2,007"
Intel Core i7-4850HQ @ 2.30GHz,4,"6,398","2,003"
Intel Core i7-4860EQ @ 1.80GHz,4,"5,500","1,754"
Intel Core i7-4860HQ @ 2.40GHz,4,"6,138","1,901"
Intel Core i7-4870HQ @ 2.50GHz,4,"6,374","2,088"
Intel Core i7-4900MQ @ 2.80GHz,4,"6,045","1,946"
Intel Core i7-4910MQ @ 2.90GHz,4,"6,244","2,009"
Intel Core i7-4930MX @ 3.00GHz,4,"6,753","2,180"
Intel Core i7-4940MX @ 3.10GHz,4,"7,060","2,286"
Intel Core i7-4960HQ @ 2.60GHz,4,"6,768","2,190"
Intel Core i7-4980HQ @ 2.80GHz,4,"6,801","2,256"
Intel Core i7-5500U @ 2.40GHz,2,"2,719","1,630"
Intel Core i7-5550U @ 2.00GHz,2,"2,908","1,781"
Intel Core i7-5557U @ 3.10GHz,2,"3,162","1,935"
Intel Core i7-5600U @ 2.60GHz,2,"2,989","1,763"
Intel Core i7-5650U @ 2.20GHz,2,"3,006","1,923"
Intel Core i7-5700EQ @ 2.60GHz,4,"5,905","2,124"
Intel Core i7-5700HQ @ 2.70GHz,4,"6,018","2,024"
Intel Core i7-5850EQ @ 2.70GHz,4,"7,036","2,119"
Intel Core i7-5850HQ @ 2.70GHz,4,"6,866","2,219"
Intel Core i7-5950HQ @ 2.90GHz,4,"7,696","2,288"
Intel Core i7-610E @ 2.53GHz,2,"1,818","1,400"
Intel Core i7-620LM @ 2.00GHz,2,"1,422","1,074"
Intel Core i7-620M @ 2.67GHz,2,"1,999","1,283"
Intel Core i7-620UM @ 1.07GHz,2,964,777
Intel Core i7-640LM @ 2.13GHz,2,"1,469","1,013"
Intel Core i7-640M @ 2.80GHz,2,"2,042","1,385"
Intel Core i7-640UM @ 1.20GHz,2,"1,090",817
Intel Core i7-6498DU @ 2.50GHz,2,"3,303","1,721"
Intel Core i7-6500U @ 2.50GHz,2,"3,280","1,709"
Intel Core i7-6560U @ 2.20GHz,2,"3,428","1,731"
Intel Core i7-6567U @ 3.30GHz,2,"3,796","2,096"
Intel Core i7-6600U @ 2.60GHz,2,"3,506","1,849"
Intel Core i7-660UM @ 1.33GHz,2,"1,272",927
Intel Core i7-6650U @ 2.20GHz,2,"3,579","1,813"
Intel Core i7-6660U @ 2.40GHz,2,"3,851","1,983"
Intel Core i7-6700HQ @ 2.60GHz,4,"6,541","1,918"
Intel Core i7-6770HQ @ 2.60GHz,4,"7,145","1,966"
Intel Core i7-680UM @ 1.47GHz,2,"1,046",773
Intel Core i7-6820EQ @ 2.80GHz,4,"6,924","1,969"
Intel Core i7-6820HK @ 2.70GHz,4,"6,922","1,949"
Intel Core i7-6820HQ @ 2.70GHz,4,"6,934","1,991"
Intel Core i7-6822EQ @ 2.00GHz,4,"5,241","1,572"
Intel Core i7-6920HQ @ 2.90GHz,4,"7,385","2,125"
Intel Core i7-720QM @ 1.60GHz,4,"1,660",965
Intel Core i7-740QM @ 1.73GHz,4,"1,780","1,010"
Intel Core i7-7500U @ 2.70GHz,2,"3,654","1,948"
Intel Core i7-7560U @ 2.40GHz,2,"3,801","2,013"
Intel Core i7-7567U @ 3.50GHz,2,"4,248","2,258"
Intel Core i7-7600U @ 2.80GHz,2,"3,665","1,989"
Intel Core i7-7660U @ 2.50GHz,2,"4,099","2,137"
Intel Core i7-7700HQ @ 2.80GHz,4,"6,955","2,069"
Intel Core i7-7820EQ @ 3.00GHz,4,"7,453","2,207"
Intel Core i7-7820HK @ 2.90GHz,4,"7,695","2,180"
Intel Core i7-7820HQ @ 2.90GHz,4,"7,213","2,141"
Intel Core i7-7920HQ @ 3.10GHz,4,"7,435","2,224"
Intel Core i7-7Y75 @ 1.30GHz,2,"2,670","1,612"
Intel Core i7-820QM @ 1.73GHz,4,"1,768","1,029"
Intel Core i7-840QM @ 1.87GHz,4,"1,924","1,137"
Intel Core i7-8500Y @ 1.50GHz,2,"2,631","1,501"
Intel Core i7-8550U @ 1.80GHz,4,"5,950","2,071"
Intel Core i7-8557U @ 1.70GHz,4,"8,225","2,571"
Intel Core i7-8559U @ 2.70GHz,4,"8,745","2,580"
Intel Core i7-8565U @ 1.80GHz,4,"6,369","2,250"
Intel Core i7-8565UC @ 1.80GHz,4,"6,187","2,527"
Intel Core i7-8569U @ 2.80GHz,4,"8,523","2,773"
Intel Core i7-8650U @ 1.90GHz,4,"6,371","2,158"
Intel Core i7-8665U @ 1.90GHz,4,"6,414","2,246"
Intel Core i7-8665UE @ 1.70GHz,4,"5,017","1,538"
Intel Core i7-8700B @ 3.20GHz,6,"12,363","2,766"
Intel Core i7-8705G @ 3.10GHz,4,"7,947","2,288"
Intel Core i7-8706G @ 3.10GHz,4,"8,136","2,519"
Intel Core i7-8709G @ 3.10GHz,4,"7,990","2,291"
Intel Core i7-8750H @ 2.20GHz,6,"10,089","2,332"
Intel Core i7-8809G @ 3.10GHz,4,"8,759","2,457"
Intel Core i7-8850H @ 2.60GHz,6,"10,343","2,403"
Intel Core i7-920XM @ 2.00GHz,4,"2,021","1,016"
Intel Core i7-940XM @ 2.13GHz,4,"2,252","1,223"
Intel Core i7-9700TE @ 1.80GHz,8,"10,826","2,309"
Intel Core i7-9750H @ 2.60GHz,6,"11,208","2,488"
Intel Core i7-9750HF @ 2.60GHz,6,"11,435","2,547"
Intel Core i7-9850H @ 2.60GHz,6,"11,491","2,551"
Intel Core i7-9850HL @ 1.90GHz,6,"9,112","2,139"
Intel Core i9-10880H @ 2.30GHz,8,"15,064","2,805"
Intel Core i9-10885H @ 2.40GHz,8,"15,658","2,808"
Intel Core i9-10980HK @ 2.40GHz,8,"16,271","2,869"
Intel Core i9-11900H @ 2.50GHz,8,"21,602","3,214"
Intel Core i9-11950H @ 2.60GHz,8,"22,563","3,298"
Intel Core i9-11980HK @ 2.60GHz,8,"23,611","3,311"
Intel Core i9-12900H,6,"30,018","4,001"
Intel Core i9-12900HK,6,"29,951","3,925"
Intel Core i9-8950HK @ 2.90GHz,6,"10,813","2,495"
Intel Core i9-9880H @ 2.30GHz,8,"13,987","2,558"
Intel Core i9-9980HK @ 2.40GHz,8,"14,731","2,620"
Intel Core M-5Y10 @ 0.80GHz,2,"1,840","1,098"
Intel Core M-5Y10a @ 0.80GHz,2,"1,905",993
Intel Core M-5Y10c @ 0.80GHz,2,"1,822","1,080"
Intel Core M-5Y31 @ 0.90GHz,2,"2,085","1,332"
Intel Core M-5Y51 @ 1.10GHz,2,"2,191","1,407"
Intel Core M-5Y70 @ 1.10GHz,2,"1,705","1,039"
Intel Core M-5Y71 @ 1.20GHz,2,"2,069","1,334"
Intel Core m3-6Y30 @ 0.90GHz,2,"2,041","1,229"
Intel Core m3-7Y30 @ 1.00GHz,2,"2,589","1,386"
Intel Core m3-7Y32 @ 1.10GHz,2,"2,928","1,689"
Intel Core m3-8100Y @ 1.10GHz,2,"2,986","1,780"
Intel Core m5-6Y54 @ 1.10GHz,2,"2,131","1,198"
Intel Core m5-6Y57 @ 1.10GHz,2,"2,369","1,361"
Intel Core m7-6Y75 @ 1.20GHz,2,"2,380","1,433"
Intel Core Solo T1300 @ 1.66GHz,1,210,518
Intel Core Solo T1350 @ 1.86GHz,1,194,413
Intel Core Solo T1400 @ 1.83GHz,1,253,525
Intel Core Solo U1300 @ 1.06GHz,1,127,340
Intel Core Solo U1400 @ 1.20GHz,1,130,365
Intel Core Solo U1500 @ 1.33GHz,1,164,375
Intel Core2 Duo E8135 @ 2.66GHz,2,"1,119","1,140"
Intel Core2 Duo E8235 @ 2.80GHz,2,995,"1,113"
Intel Core2 Duo E8335 @ 2.66GHz,2,"1,172","1,126"
Intel Core2 Duo E8335 @ 2.93GHz,2,"1,187","1,206"
Intel Core2 Duo E8435 @ 3.06GHz,2,"1,240","1,307"
Intel Core2 Duo L7100 @ 1.20GHz,2,467,484
Intel Core2 Duo L7300 @ 1.40GHz,2,489,529
Intel Core2 Duo L7400 @ 1.50GHz,2,516,555
Intel Core2 Duo L7500 @ 1.60GHz,2,575,600
Intel Core2 Duo L7700 @ 1.80GHz,2,607,748
Intel Core2 Duo L9300 @ 1.60GHz,2,666,659
Intel Core2 Duo L9600 @ 2.13GHz,2,892,914
Intel Core2 Duo P7350 @ 2.00GHz,2,727,787
Intel Core2 Duo P7370 @ 2.00GHz,2,790,793
Intel Core2 Duo P7450 @ 2.13GHz,2,747,821
Intel Core2 Duo P7550 @ 2.26GHz,2,868,917
Intel Core2 Duo P7570 @ 2.26GHz,2,711,884
Intel Core2 Duo P8400 @ 2.26GHz,2,827,921
Intel Core2 Duo P8600 @ 2.40GHz,2,851,935
Intel Core2 Duo P8700 @ 2.53GHz,2,956,"1,047"
Intel Core2 Duo P8800 @ 2.66GHz,2,915,"1,078"
Intel Core2 Duo P9300 @ 2.26GHz,2,909,855
Intel Core2 Duo P9500 @ 2.53GHz,2,959,"1,056"
Intel Core2 Duo P9600 @ 2.53GHz,2,"1,012","1,075"
Intel Core2 Duo P9600 @ 2.66GHz,2,"1,069","1,111"
Intel Core2 Duo P9700 @ 2.80GHz,2,"1,109","1,151"
Intel Core2 Duo SL9400 @ 1.86GHz,2,743,767
Intel Core2 Duo SP9400 @ 2.40GHz,2,948,930
Intel Core2 Duo SU9400 @ 1.40GHz,2,534,597
Intel Core2 Duo T5200 @ 1.60GHz,2,438,575
Intel Core2 Duo T5250 @ 1.50GHz,2,483,542
Intel Core2 Duo T5270 @ 1.40GHz,2,496,586
Intel Core2 Duo T5300 @ 1.73GHz,2,635,423
Intel Core2 Duo T5450 @ 1.66GHz,2,543,581
Intel Core2 Duo T5470 @ 1.60GHz,2,531,606
Intel Core2 Duo T5500 @ 1.66GHz,2,513,590
Intel Core2 Duo T5550 @ 1.83GHz,2,596,664
Intel Core2 Duo T5600 @ 1.83GHz,2,645,696
Intel Core2 Duo T5670 @ 1.80GHz,2,530,635
Intel Core2 Duo T5750 @ 2.00GHz,2,667,735
Intel Core2 Duo T5800 @ 2.00GHz,2,638,738
Intel Core2 Duo T5850 @ 2.16GHz,2,657,769
Intel Core2 Duo T5870 @ 2.00GHz,2,700,748
Intel Core2 Duo T5900 @ 2.20GHz,2,652,768
Intel Core2 Duo T6400 @ 2.00GHz,2,708,794
Intel Core2 Duo T6500 @ 2.10GHz,2,687,833
Intel Core2 Duo T6570 @ 2.10GHz,2,718,824
Intel Core2 Duo T6600 @ 2.20GHz,2,761,851
Intel Core2 Duo T6670 @ 2.20GHz,2,756,855
Intel Core2 Duo T7100 @ 1.80GHz,2,643,714
Intel Core2 Duo T7200 @ 2.00GHz,2,723,756
Intel Core2 Duo T7250 @ 2.00GHz,2,688,771
Intel Core2 Duo T7300 @ 2.00GHz,2,693,772
Intel Core2 Duo T7400 @ 2.16GHz,2,702,774
Intel Core2 Duo T7500 @ 2.20GHz,2,823,878
Intel Core2 Duo T7600 @ 2.33GHz,2,770,848
Intel Core2 Duo T7700 @ 2.40GHz,2,825,899
Intel Core2 Duo T7800 @ 2.60GHz,2,976,"1,034"
Intel Core2 Duo T8100 @ 2.10GHz,2,739,836
Intel Core2 Duo T8300 @ 2.40GHz,2,903,995
Intel Core2 Duo T9300 @ 2.50GHz,2,938,"1,018"
Intel Core2 Duo T9400 @ 2.53GHz,2,934,"1,014"
Intel Core2 Duo T9500 @ 2.60GHz,2,"1,016","1,090"
Intel Core2 Duo T9550 @ 2.66GHz,2,937,"1,035"
Intel Core2 Duo T9600 @ 2.80GHz,2,"1,051","1,121"
Intel Core2 Duo T9800 @ 2.93GHz,2,"1,163","1,220"
Intel Core2 Duo T9900 @ 3.06GHz,2,"1,227","1,204"
Intel Core2 Duo U7300 @ 1.30GHz,2,501,533
Intel Core2 Duo U7500 @ 1.06GHz,2,405,425
Intel Core2 Duo U7600 @ 1.20GHz,2,316,427
Intel Core2 Duo U7700 @ 1.33GHz,2,345,345
Intel Core2 Duo U9300 @ 1.20GHz,2,485,542
Intel Core2 Duo U9600 @ 1.60GHz,2,584,657
Intel Core2 Extreme X7800 @ 2.60GHz,2,"1,138","1,077"
Intel Core2 Extreme X7900 @ 2.80GHz,2,"1,093","1,087"
Intel Core2 Extreme X9000 @ 2.80GHz,2,"1,135","1,103"
Intel Core2 Extreme X9100 @ 3.06GHz,2,"1,139","1,175"
Intel Core2 Quad Q9000 @ 2.00GHz,4,"1,480",879
Intel Core2 Quad Q9100 @ 2.26GHz,4,"1,764",930
Intel Core2 Solo U2100 @ 1.06GHz,1,233,258
Intel Core2 Solo U3500 @ 1.40GHz,1,252,546
Intel Pentium 2020M @ 2.40GHz,2,"1,368","1,268"
Intel Pentium 2030M @ 2.50GHz,2,"1,353","1,157"
Intel Pentium 2117U @ 1.80GHz,2,998,925
Intel Pentium 2127U @ 1.90GHz,2,"1,066",992
Intel Pentium 2129Y @ 1.10GHz,2,635,587
Intel Pentium 3550M @ 2.30GHz,2,"1,309","1,183"
Intel Pentium 3556U @ 1.70GHz,2,"1,003",933
Intel Pentium 3558U @ 1.70GHz,2,994,926
Intel Pentium 3560M @ 2.40GHz,2,"1,552","1,421"
Intel Pentium 3560Y @ 1.20GHz,2,849,700
Intel Pentium 3805U @ 1.90GHz,2,"1,148","1,079"
Intel Pentium 3825U @ 1.90GHz,2,"1,340","1,108"
Intel Pentium 4 Mobile 1.60GHz,1,116,254
Intel Pentium 4 Mobile 1.80GHz,1,114,195
Intel Pentium 4 Mobile 1.90GHz,1,136,282
Intel Pentium 4 Mobile 2.00GHz,1,132,310
Intel Pentium 4405U @ 2.10GHz,2,"2,091","1,217"
Intel Pentium 4405Y @ 1.50GHz,2,"1,518",868
Intel Pentium 4410Y @ 1.50GHz,2,"1,444",777
Intel Pentium 4415U @ 2.30GHz,2,"2,199","1,269"
Intel Pentium 4415Y @ 1.60GHz,2,"1,600",899
Intel Pentium 4417U @ 2.30GHz,2,"2,276","1,334"
Intel Pentium 4425Y @ 1.70GHz,2,"1,697",967
Intel Pentium 5405U @ 2.30GHz,2,"2,286","1,340"
Intel Pentium 6405U @ 2.40GHz,2,"2,367","1,417"
Intel Pentium 6805 @ 1.10GHz,2,"4,745","1,964"
Intel Pentium 957 @ 1.20GHz,2,622,574
Intel Pentium 967 @ 1.30GHz,2,626,620
Intel Pentium 987 @ 1.50GHz,2,642,641
Intel Pentium A1018 @ 2.10GHz,2,"1,117","1,020"
Intel Pentium A1020 @ 2.41GHz,4,"1,265",705
Intel Pentium B940 @ 2.00GHz,2,835,864
Intel Pentium B950 @ 2.10GHz,2,980,932
Intel Pentium B960 @ 2.20GHz,2,910,941
Intel Pentium B970 @ 2.30GHz,2,"1,091","1,055"
Intel Pentium B980 @ 2.40GHz,2,"1,076","1,060"
Intel Pentium G4400TE @ 2.40GHz,2,"2,190","1,481"
Intel Pentium Gold 7505 @ 2.00GHz,2,"5,369","2,314"
Intel Pentium Gold 8505,1,"6,771","3,112"
Intel Pentium III Mobile 1066MHz,1,160,210
Intel Pentium III Mobile 1133MHz,1,164,218
Intel Pentium III Mobile 1200MHz,1,156,216
Intel Pentium III Mobile 800MHz,1,119,155
Intel Pentium III Mobile 866MHz,1,99,132
Intel Pentium M 1.30GHz,1,196,250
Intel Pentium M 1.40GHz,1,225,264
Intel Pentium M 1.50GHz,1,240,323
Intel Pentium M 1.60GHz,1,229,307
Intel Pentium M 1.70GHz,1,239,318
Intel Pentium M 1.73GHz,1,205,494
Intel Pentium M 1.80GHz,1,280,389
Intel Pentium M 1.86GHz,1,238,460
Intel Pentium M 1000MHz,1,156,222
Intel Pentium M 1200MHz,1,155,166
Intel Pentium M 1300MHz,1,197,271
Intel Pentium M 1400MHz,1,208,282
Intel Pentium M 1500MHz,1,188,251
Intel Pentium M 1600MHz,1,193,313
Intel Pentium M 1700MHz,1,237,361
Intel Pentium M 2.00GHz,1,270,363
Intel Pentium M 2.10GHz,1,292,353
Intel Pentium M 2.13GHz,1,271,354
Intel Pentium M 2.26GHz,1,227,508
Intel Pentium M 900MHz,1,141,200
Intel Pentium N3510 @ 1.99GHz,4,878,534
Intel Pentium N3520 @ 2.16GHz,4,"1,134",664
Intel Pentium N3530 @ 2.16GHz,4,"1,197",705
Intel Pentium N3540 @ 2.16GHz,4,"1,214",714
Intel Pentium N3700 @ 1.60GHz,4,"1,316",646
Intel Pentium N3710 @ 1.60GHz,4,"1,361",685
Intel Pentium N4200 @ 1.10GHz,4,"2,138",857
Intel Pentium P6000 @ 1.87GHz,2,765,713
Intel Pentium P6100 @ 2.00GHz,2,850,831
Intel Pentium P6200 @ 2.13GHz,2,847,840
Intel Pentium P6300 @ 2.27GHz,2,834,772
Intel Pentium Silver N5000 @ 1.10GHz,4,"2,596","1,144"
Intel Pentium Silver N5020 @ 1.10GHz,4,"3,404","1,307"
Intel Pentium Silver N5030 @ 1.10GHz,4,"2,692","1,300"
Intel Pentium Silver N6005 @ 2.00GHz,4,"4,513","1,770"
Intel Pentium SU2700 @ 1.30GHz,1,239,432
Intel Pentium SU4100 @ 1.30GHz,2,476,515
Intel Pentium T2060 @ 1.60GHz,2,330,490
Intel Pentium T2080 @ 1.73GHz,2,348,530
Intel Pentium T2130 @ 1.86GHz,2,382,583
Intel Pentium T2310 @ 1.46GHz,2,515,557
Intel Pentium T2330 @ 1.60GHz,2,545,582
Intel Pentium T2370 @ 1.73GHz,2,500,546
Intel Pentium T2390 @ 1.86GHz,2,547,641
Intel Pentium T3200 @ 2.00GHz,2,636,713
Intel Pentium T3400 @ 2.16GHz,2,645,722
Intel Pentium T4200 @ 2.00GHz,2,714,787
Intel Pentium T4300 @ 2.10GHz,2,768,832
Intel Pentium T4400 @ 2.20GHz,2,762,862
Intel Pentium T4500 @ 2.30GHz,2,791,910
Intel Pentium U5400 @ 1.20GHz,2,538,503
Intel Pentium U5600 @ 1.33GHz,2,624,588
Intel Xeon D-1528 @ 1.90GHz,6,"5,910","1,281"
Intel Xeon E-2176M @ 2.70GHz,6,"10,959","2,462"
Intel Xeon E-2186M @ 2.90GHz,6,"10,904","2,481"
Intel Xeon E-2276M @ 2.80GHz,6,"11,802","2,646"
Intel Xeon E-2286M @ 2.40GHz,8,"15,296","2,780"
Intel Xeon E3-1268L v5 @ 2.40GHz,4,"6,600","1,869"
Intel Xeon E3-1505L v5 @ 2.00GHz,4,"4,838","1,635"
Intel Xeon E3-1505L v6 @ 2.20GHz,4,"6,088","1,848"
Intel Xeon E3-1535M v5 @ 2.90GHz,4,"7,563","2,139"
Intel Xeon E3-1535M v6 @ 3.10GHz,4,"8,184","2,386"
Intel Xeon E3-1545M v5 @ 2.90GHz,4,"7,911","2,122"
Intel Xeon W-10855M @ 2.80GHz,6,"13,136","2,816"
Intel Xeon W-10885M @ 2.40GHz,8,"16,013","2,768"
Intel Xeon W-11855M @ 3.20GHz,6,"18,836","3,318"
Intel Xeon W-11955M @ 2.60GHz,8,"23,855","3,373"
Microsoft ARM SQ1 @ 3.0 GHz,8,"4,371","1,862"
Mobile AMD Athlon 2500+,1,241,365
Mobile AMD Athlon 4 2400+,1,233,358
Mobile AMD Athlon 64 3200+,1,326,400
Mobile AMD Athlon 64 3400+,1,333,432
Mobile AMD Athlon 64 3700+,1,356,485
Mobile AMD Athlon 64 4000+,1,313,338
Mobile AMD Athlon MP-M 1800+,1,173,262
Mobile AMD Athlon MP-M 2400+,1,192,314
Mobile AMD Athlon XP-M 1600+,1,169,274
Mobile AMD Athlon XP-M 1800+,1,193,291
Mobile AMD Athlon XP-M 2000+,1,196,301
Mobile AMD Athlon XP-M 2200+,1,237,363
Mobile AMD Athlon XP-M 2400+,1,225,355
Mobile AMD Athlon XP-M 2500+,1,226,355
Mobile AMD Athlon XP-M 2600+,1,241,375
Mobile AMD Athlon XP-M 2800+,1,238,385
Mobile AMD Athlon XP-M 3000+,1,238,365
Mobile AMD Sempron 2100+,1,164,203
Mobile AMD Sempron 2600+,1,256,316
Mobile AMD Sempron 2800+,1,237,299
Mobile AMD Sempron 3000+,1,269,350
Mobile AMD Sempron 3100+,1,277,359
Mobile AMD Sempron 3200+,1,245,525
Mobile AMD Sempron 3300+,1,294,391
Mobile AMD Sempron 3400+,1,321,455
Mobile AMD Sempron 3500+,1,290,654
Mobile AMD Sempron 3600+,1,302,724
Mobile AMD Sempron 3800+,1,335,735
Mobile Intel Celeron 1.70GHz,1,118,254
Mobile Intel Celeron 1.80GHz,1,121,280
Mobile Intel Celeron 1333MHz,1,183,248
Mobile Intel Celeron 2.00GHz,1,133,290
Mobile Intel Celeron 2.20GHz,1,147,355
Mobile Intel Celeron 2.40GHz,1,154,376
Mobile Intel Pentium 4 - M 1.70GHz,1,121,297
Mobile Intel Pentium 4 - M 1.80GHz,1,119,297
Mobile Intel Pentium 4 - M 2.00GHz,1,138,345
Mobile Intel Pentium 4 - M 2.20GHz,1,143,388
Mobile Intel Pentium 4 - M 2.40GHz,1,139,317
Mobile Intel Pentium 4 3.33GHz,1,344,552
Mobile Intel Pentium III - M 1200MHz,1,146,185
Mobile Intel Pentium III - M 933MHz,1,130,177
VIA C7-M 1600MHz,1,116,124
VIA Eden 1000MHz,1,80,83
VIA Eden 1200MHz,1,93,97
VIA Nano L2007@1600MHz,1,254,242
VIA Nano L2100@1800MHz,1,279,182
VIA Nano L2207@1600MHz,1,165,191
VIA Nano U2250 (1.6GHz Capable),1,270,259
VIA Nano U2250@1300+MHz,1,179,156
VIA Nano U2500@1200MHz,1,199,184
VIA Nano U3500@1000MHz,1,184,286
VIA Nano X2 U4025 @ 1.2 GHz,2,393,213
VIA QuadCore L4700 @ 1.2+ GHz,4,773,355
