Videocard Name,G3D Mark -,G2D Mark -
Radeon R5 435,841,235
Radeon R5 A10-9600P 4C+6G,619,146
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",716,146
Radeon R5 A10-9620P 4C+6G,732,196
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",626,165
Radeon R5 A10-9630P 4C+6G,977,270
"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",580,175
Radeon R5 A240,576,802
Radeon R5 A6-7480,811,217
Radeon R5 A6-8500P,624,209
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",605,271
Radeon R5 A6-9500 2C+6G,853,249
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",878,200
Radeon R5 A6-9500E 2C+4G,"1,015",438
Radeon R5 M230,391,139
Radeon R5 M240,432,247
Radeon R5 M255,500,141
Radeon R5 M315,476,205
Radeon R5 M320,427,139
Radeon R5 M330,596,519
Radeon R5 M335,549,577
Radeon R5 M420,470,164
Radeon R5 M430,649,516
Radeon R5 M435,796,179
Radeon R5 Opteron X3216,394,182
Radeon R5 PRO A10-8730B 4C+6G,695,201
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",598,152
Radeon R5 PRO A6-8500B 2C+4G,508,416
Radeon R5 PRO A6-8530B 2C+4G,690,354
Radeon R5 PRO A6-8570 2C+6G,847,292
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G","1,064",249
Radeon R5 PRO A6-8570E 2C+4G,638,268
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",866,210
Radeon R5 PRO A6-9500 2C+6G,"1,096",353
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G","1,000",231
Radeon R5 PRO A6-9500B 2C+4G,693,323
"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",507,131
Radeon R5 PRO A6-9500E 2C+4G,771,288
Radeon R5 PRO A8-9600B 4C+6G,659,224
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",718,181
Radeon R5E,301,106
Radeon R6,650,146
Radeon R6 + R7 M265DX Dual,571,328
Radeon R6 A10-8700P,532,140
Radeon R6 A10-9600P 4C+6G,970,336
Radeon R6 A8-8600P,475,151
Radeon R6 M255DX,572,106
Radeon R6 Opteron X3418,955,399
Radeon R6 PRO A10-8700B 4C+6G,538,146
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",526,146
Radeon R6 PRO A8-8600B 4C+6G,532,158
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",572,151
Radeon R7 + HD 7700 Dual,"1,962",498
Radeon R7 + R5 330 Dual,"1,028",531
Radeon R7 + R5 340 Dual,"1,235",471
Radeon R7 + R5 435 Dual A10-9700 RADEON,886,480
Radeon R7 + R5 Dual,898,496
Radeon R7 + R7 200 Dual,"1,129",310
Radeon R7 + R7 240 Dual,"1,045",374
Radeon R7 + R7 250 Dual,"1,232",576
Radeon R7 + R7 350 Dual,"1,982",552
Radeon R7 +8G,"1,191",460
Radeon R7 240,863,259
Radeon R7 240 + HD 8570D Dual,918,352
Radeon R7 240 + HD 8670D Dual,930,471
Radeon R7 250,"1,153",296
Radeon R7 250X,"2,269",637
Radeon R7 260,"2,892",559
Radeon R7 260X,"3,149",506
Radeon R7 340,931,357
Radeon R7 360,"3,034",495
Radeon R7 370,"4,474",594
Radeon R7 430,"1,122",423
Radeon R7 450,"1,974",573
Radeon R7 7850A10-7850K,551,506
Radeon R7 A10 Extreme Edition,816,286
Radeon R7 A10 PRO-7800B,562,289
Radeon R7 A10 PRO-7850B,958,403
Radeon R7 A10-7700K,749,227
Radeon R7 A10-7800,691,197
Radeon R7 A10-7850K,981,285
Radeon R7 A10-7860K,912,228
Radeon R7 A10-7870K,"1,280",273
Radeon R7 A10-7890K,781,241
Radeon R7 A10-8750,885,243
Radeon R7 A10-8850,773,277
Radeon R7 A10-9700 RADEON,975,239
Radeon R7 A10-9700E RADEON,"1,138",346
Radeon R7 A12-9700P RADEON,703,165
Radeon R7 A12-9720P RADEON,759,186
Radeon R7 A12-9730P RADEON,"1,047",283
Radeon R7 A12-9800 RADEON,989,288
Radeon R7 A12-9800E RADEON,941,257
Radeon R7 A265,955,737
Radeon R7 A360,676,346
Radeon R7 A365,781,763
Radeon R7 A370,"1,281",742
Radeon R7 A8 PRO-7600B,627,156
Radeon R7 A8-7500,948,336
Radeon R7 A8-7500 4C+6G,853,390
Radeon R7 A8-7600,781,209
Radeon R7 A8-7650K,704,208
Radeon R7 A8-7670K,862,318
Radeon R7 A8-7680,752,210
Radeon R7 A8-8650,913,499
Radeon R7 A8-9600 RADEON,808,193
Radeon R7 FX-8800P,775,184
Radeon R7 FX-9800P RADEON,727,197
Radeon R7 FX-9830P RADEON,"1,110",229
Radeon R7 G,870,532
Radeon R7 M260,451,117
Radeon R7 M260DX,822,210
Radeon R7 M260X,947,175
Radeon R7 M265,576,170
Radeon R7 M265DX,499,138
Radeon R7 M270,734,167
Radeon R7 M270DX,962,233
Radeon R7 M340,640,150
Radeon R7 M350,"1,027",230
Radeon R7 M360,552,150
Radeon R7 M365X,884,234
Radeon R7 M370,"1,418",676
Radeon R7 M380,"1,669",534
Radeon R7 M440,868,181
Radeon R7 M445,913,182
Radeon R7 M460,"1,046",227
Radeon R7 M465,"1,202",479
Radeon R7 M465X,"1,624",440
Radeon R7 Opteron X3421,"1,169",328
Radeon R7 PRO A10-8750B,758,224
Radeon R7 PRO A10-8770,931,241
Radeon R7 PRO A10-8770E,899,241
Radeon R7 PRO A10-8850B,945,552
Radeon R7 PRO A10-9700,771,212
Radeon R7 PRO A10-9700B,758,259
Radeon R7 PRO A10-9700E,933,234
Radeon R7 PRO A12-8800B,642,201
Radeon R7 PRO A12-8830B,883,341
Radeon R7 PRO A12-8870,"1,376",541
Radeon R7 PRO A12-8870E,962,312
Radeon R7 PRO A12-9800,"1,117",334
Radeon R7 PRO A12-9800B,722,197
Radeon R7 PRO A12-9800E,989,266
Radeon R7 PRO A6-9500 2C+6G,781,439
Radeon R7 PRO A8-8650B,730,191
Radeon R7 PRO A8-8670E,"1,310",442
Radeon R7 PRO A8-9600,"1,049",482
Radeon R7E,690,208
Radeon R8 M365DX,741,336
Radeon R8 M445DX,806,179
Radeon R8 M535DX,670,182
Radeon R9 255,"1,485",395
Radeon R9 260,"3,018",643
Radeon R9 270,"4,306",567
Radeon R9 270 / R7 370,"4,260",645
Radeon R9 270X,"4,922",607
Radeon R9 280,"5,661",678
Radeon R9 280X,"6,285",691
Radeon R9 285,"6,680",597
Radeon R9 285 / 380,"5,550",655
Radeon R9 290,"8,404",788
Radeon R9 290 / 390,"8,150",695
Radeon R9 290X,"8,785",788
Radeon R9 290X / 390X,"8,389",699
Radeon R9 295X2,"8,619",804
Radeon R9 350,"2,007",552
Radeon R9 360,"3,032",460
Radeon R9 370,"4,722",781
Radeon R9 380,"6,271",674
Radeon R9 380X,"6,184",671
Radeon R9 390,"9,001",816
Radeon R9 390X,"9,509",843
Radeon R9 A375,"1,024",232
Radeon R9 Fury,"9,551",791
Radeon R9 Fury + Fury X,"9,741",811
Radeon R9 Fury X,"10,058",882
Radeon R9 M265X,914,213
Radeon R9 M270X,"1,204",306
Radeon R9 M275,"1,115",569
Radeon R9 M275X,"1,963",434
Radeon R9 M275X / M375,"1,575",467
Radeon R9 M280X,922,272
Radeon R9 M290X,"3,375",453
Radeon R9 M295X,"5,150",832
Radeon R9 M360,"1,741",431
Radeon R9 M365X,"1,482",446
Radeon R9 M370X,"1,360",346
Radeon R9 M375,763,172
Radeon R9 M375X,"1,843",392
Radeon R9 M380,"2,931",617
Radeon R9 M385,"2,018",230
Radeon R9 M385X,"1,929",285
Radeon R9 M390X,"3,021",507
Radeon R9 M395,"4,991",725
Radeon R9 M395X,"4,775",762
Radeon R9 M470,"2,194",376
Radeon R9 M470X,"3,400",552
Radeon R9 M485X,"3,204",492
Radeon RX 460,"4,111",570
Radeon RX 470/570,"8,067",726
Radeon RX 480,"8,672",779
Radeon RX 5300,"7,611",854
Radeon RX 5300M,"3,612",357
Radeon RX 540,"1,820",416
Radeon RX 550,"2,715",483
Radeon RX 5500,"8,825",875
Radeon RX 5500 XT,"9,189",824
Radeon RX 5500M,"4,022",415
Radeon RX 550X,"2,414",518
Radeon RX 560,"3,593",507
Radeon RX 5600,"11,030",935
Radeon RX 5600 XT,"13,839",914
Radeon RX 5600M,"7,117",540
Radeon RX 560X,"3,181",487
Radeon RX 5700,"14,723",926
Radeon RX 5700 XT,"16,887",955
Radeon RX 5700 XT 50th Anniversary,"16,714",969
Radeon RX 570X,"1,923",750
Radeon RX 580,"8,905",771
Radeon RX 580 2048SP,"7,768",669
Radeon RX 580X,"7,798",885
Radeon RX 590,"9,669",810
Radeon RX 640,"1,543",278
Radeon RX 6500 XT,"9,537",920
Radeon RX 6600,"13,750",935
Radeon RX 6600 XT,"15,813",997
Radeon RX 6600M,"9,013",688
Radeon RX 6700 XT,"18,996","1,014"
Radeon RX 6700M,"11,395",551
Radeon RX 6700S,"12,167",866
Radeon RX 6800,"20,639","1,030"
Radeon RX 6800 XT,"23,293","1,076"
Radeon RX 6800M,"8,731",652
Radeon RX 6900 XT,"25,401","1,105"
Radeon RX Vega 10,"1,696",388
Radeon RX Vega 11,"2,134",535
Radeon RX Vega 11 PRD,"2,402",601
Radeon RX Vega 11 Processor,"1,755",460
Radeon RX Vega 56,"13,644",784
Radeon RX Vega 64,"14,636",810
Radeon RX Vega 8,"1,552",385
Radeon RX Vega M GH,"6,734",832
Radeon RX Vega M GL,"3,315",506
Radeon RX Vega11,"1,717",448
Radeon RX590 GME,"8,628",704
Radeon Ryzen 3 4300G,"1,596",588
Radeon Ryzen 3 4300GE,"2,323",686
Radeon Ryzen 3 4300U,"1,307",486
Radeon Ryzen 3 5300G,"1,406",643
Radeon Ryzen 3 5400U,"1,183",594
Radeon Ryzen 3 PRO 4200GE,"1,712",600
Radeon Ryzen 3 PRO 4350G,"2,151",643
Radeon Ryzen 3 PRO 4350GE,"1,468",575
Radeon Ryzen 3 PRO 4450U,"1,518",559
Radeon Ryzen 3 PRO 5350G,"1,408",632
Radeon Ryzen 3 PRO 5450U,"1,143",555
Radeon Ryzen 5 4500U,"1,801",550
Radeon Ryzen 5 4600G,"2,176",649
Radeon Ryzen 5 4600GE,"1,412",467
Radeon Ryzen 5 4600H,"2,747",565
Radeon Ryzen 5 4600HS,"7,942",447
Radeon Ryzen 5 4600U,"1,837",535
Radeon Ryzen 5 5600G,"2,555",818
Radeon Ryzen 5 5600H,"2,721",695
Radeon Ryzen 5 5600U,"2,046",646
Radeon Ryzen 5 Microsoft Surface Edition,"2,085",515
Radeon Ryzen 5 PRO 4650G,"2,415",704
Radeon Ryzen 5 PRO 4650GE,"2,034",642
Radeon Ryzen 5 PRO 4650U,"1,717",542
Radeon Ryzen 5 PRO 5650G,"2,161",757
Radeon Ryzen 5 PRO 5650GE,"2,437",821
Radeon Ryzen 5 PRO 5650U,"2,164",682
Radeon Ryzen 7 4700G,"2,580",732
Radeon Ryzen 7 4700GE,"2,434",724
Radeon Ryzen 7 4700U,"2,044",559
Radeon Ryzen 7 4800H,"5,244",494
Radeon Ryzen 7 4800HS,"8,842",426
Radeon Ryzen 7 4800U,"2,271",596
Radeon Ryzen 7 4850U Mobile,"2,138",519
Radeon Ryzen 7 5700G,"2,782",851
Radeon Ryzen 7 5800H,"2,777",741
Radeon Ryzen 7 5800U,"2,307",682
Radeon Ryzen 7 Microsoft Surface Edition,"2,298",540
Radeon Ryzen 7 PRO 4750G,"2,602",707
Radeon Ryzen 7 PRO 4750GE,"2,200",652
Radeon Ryzen 7 PRO 4750U,"2,030",566
Radeon Ryzen 7 PRO 5750G,"2,154",771
Radeon Ryzen 7 PRO 5750GE,"2,764",869
Radeon Ryzen 7 PRO 5850U,"2,344",686
Radeon Ryzen 9 4900H,"2,685",673
Radeon Ryzen 9 4900HS,"8,572",378
Radeon Ryzen 9 4900HSS,"9,461",417
Radeon Ryzen 9 5900H,"2,755",837
Radeon Ryzen 9 5900HS,"10,463",453
Radeon Ryzen 9 5900HX,"3,143",789
Radeon Ryzen Embedded V2718,"2,149",605
Radeon Ryzen Embedded V2748,"1,296",503
Radeon Sky 500,"4,736",551
Radeon TM R9 A360,"2,105",718
Radeon VE,2,36
Radeon Vega 10,"1,553",385
Radeon Vega 10 Mobile,"1,457",335
Radeon Vega 11,"1,847",509
Radeon Vega 2,491,247
Radeon Vega 3,889,309
Radeon Vega 3 Mobile,"1,029",310
Radeon Vega 6,"1,292",353
Radeon Vega 8,"1,594",421
Radeon Vega 8 Mobile,"1,438",349
Radeon Vega 9,"1,666",442
Radeon Vega Frontier Edition,"13,748",753
Radeon VII,"16,754",788
Radeon X1050,49,245
Radeon X1200,33,169
Radeon X1250,37,199
Radeon X1270,31,169
Radeon X1300,58,237
Radeon X1300 PRO,84,313
Radeon X1550,67,253
Radeon X1550 64-bit,48,257
Radeon X1600,49,209
Radeon X1600 Pro,99,273
Radeon X1600 Pro / X1300XT,69,285
Radeon X1600 XT,116,356
Radeon X1650 GTO,75,384
Radeon X1650 Pro,85,241
Radeon X1650 SE,71,358
Radeon X1700 Targa Edition,117,255
Radeon X1800 GTO,141,415
Radeon X1900 CrossFire Edition,137,507
Radeon X1900 GT,146,409
Radeon X1950 CrossFire Edition,151,466
Radeon X1950 GT,106,279
Radeon X1950 Pro,113,318
RADEON X300SE,38,242
RADEON X550,51,266
RADEON X550XT,56,224
Radeon X550XTX,71,240
RADEON X600 256MB HyperMemory,57,210
RADEON X600XT,92,258
RADEON X700,73,248
RADEON X700 PRO,76,302
RADEON X700 SE,71,348
RADEON X800 GT,84,423
RADEON X800 GTO,115,162
RADEON X800 PRO,65,190
RADEON X800 PRO/GTO,73,181
RADEON X800 SE,130,384
RADEON X800 XL,69,271
RADEON X800 XT,98,271
RADEON X800 XT Platinum Edition,81,170
RADEON X800GT,80,264
RADEON X850 PRO,73,157
RADEON X850 XT,81,326
RADEON X850 XT Platinum Edition,82,261
Radeon Xpress 1100,34,187
Radeon Xpress 1150,30,192
Radeon Xpress 1200,36,192
Radeon Xpress 1250,43,197
Radeon Xpress 1270,27,191
Radeon Xpress 1300,52,266
Radeon Xpress 1300M,40,195
RADEON XPRESS 200,30,188
RADEON XPRESS 200 CROSSFIRE,18,164
RADEON XPRESS 200M,23,176
Radeon. HD 7730M,928,678
RadeonT,132,40
RadeonT 540X,"1,804",438
RadeonT R5 430,"1,012",579
RadeonT R7 450,"2,185",930
RadeonT RX 5300,"7,321",809
RadeonT RX 5500M,"3,166",336
RadeonT RX 560X,"1,810",676
RadeonT RX 640,"1,363",281
RadeonT RX 6850M,"15,899",823
RadeonT Vega 3,775,391
Rage 128 Pro,1,40
RAGE 128 PRO AGP 4X TMDS,1,142
Rage Fury Pro/Xpert 2000 Pro,3,53
Red Hat QXL controller,32,270
RGH Drivers v3,11,312
RIVA TNT2 Model 64/Model 64 Pro,4,107
RIVA TNT2/TNT2 Pro,3,71
RTX A2000,"13,048",897
RTX A2000 12GB,"12,879","1,102"
RTX A2000 Laptop GPU,"10,142",446
RTX A3000 12GB Laptop GPU,"9,975",459
RTX A3000 Laptop GPU,"13,105",487
RTX A4000,"19,154",924
RTX A4000 Laptop GPU,"16,493",556
RTX A4500,"21,546",892
RTX A5000,"22,901",979
RTX A5000 Laptop GPU,"16,171",645
RTX A6000,"22,066",829
RV530 PRO,119,386
Ryzen 3 4300G with Radeon Graphics,"1,903",650
Ryzen 3 4300GE with Radeon Graphics,"2,402",687
Ryzen 3 4300U with Radeon Graphics,"1,348",493
Ryzen 3 5300G with Radeon Graphics,"2,223",805
Ryzen 3 5300GE with Radeon Graphics,"2,386",840
Ryzen 3 5300U with Radeon Graphics,"1,626",557
Ryzen 3 5400U with Radeon Graphics,"1,734",668
Ryzen 3 PRO 4200G with Radeon Graphics,"1,799",705
Ryzen 3 PRO 4200GE with Radeon Graphics,"1,784",587
Ryzen 3 PRO 4300U with Radeon Graphics,"1,543",539
Ryzen 3 Pro 4350G with Radeon Graphics,"2,190",663
Ryzen 3 PRO 4350GE with Radeon Graphics,"2,181",694
Ryzen 3 PRO 4450U with Radeon Graphics,"1,538",562
Ryzen 3 PRO 5350G with Radeon Graphics,"2,341",830
Ryzen 3 PRO 5350GE with Radeon Graphics,"2,341",821
Ryzen 3 PRO 5450U with Radeon Graphics,"1,556",644
Ryzen 5 2500U with Radeon Vega,"1,503",388
Ryzen 5 4500U with Radeon Graphics,"1,813",538
Ryzen 5 4600G with Radeon Graphics,"2,062",679
Ryzen 5 4600H with Radeon Graphics,"1,939",573
Ryzen 5 4600U with Radeon Graphics,"1,951",577
Ryzen 5 5500U with Radeon Graphics,"2,001",563
Ryzen 5 5600G with Radeon Graphics,"2,595",822
Ryzen 5 5600GE with Radeon Graphics,"2,602",886
Ryzen 5 5600H with Radeon Graphics,"2,387",730
Ryzen 5 5600U with Radeon Graphics,"2,160",673
Ryzen 5 PRO 4400G with Radeon Graphics,"2,306",599
Ryzen 5 PRO 4400GE with Radeon Graphics,"1,442",563
Ryzen 5 PRO 4500U with Radeon Graphics,"2,008",564
Ryzen 5 Pro 4650G with Radeon Graphics,"2,395",675
Ryzen 5 PRO 4650GE with Radeon Graphics,"1,977",649
Ryzen 5 PRO 4650U with Radeon Graphics,"1,696",526
Ryzen 5 PRO 5650G with Radeon Graphics,"2,513",873
Ryzen 5 PRO 5650GE with Radeon Graphics,"2,506",865
Ryzen 5 PRO 5650U with Radeon Graphics,"2,184",738
Ryzen 7 2700U with Radeon Vega,"1,617",442
Ryzen 7 4700G with Radeon Graphics,"2,187",671
Ryzen 7 4700GE with Radeon Graphics,"2,496",761
Ryzen 7 4700U with Radeon Graphics,"2,033",553
Ryzen 7 4800H with Radeon Graphics,"2,113",585
Ryzen 7 4800HS with Radeon Graphics,"6,999",355
Ryzen 7 4800U with Radeon Graphics,"2,344",570
Ryzen 7 5700G with Radeon Graphics,"2,709",846
Ryzen 7 5700GE with Radeon Graphics,"2,675",894
Ryzen 7 5700U with Radeon Graphics,"2,289",601
Ryzen 7 5800H with Radeon Graphics,"2,833",789
Ryzen 7 5800HS with Radeon Graphics,"7,391",522
Ryzen 7 5800U with Radeon Graphics,"2,467",729
Ryzen 7 Extreme Edition,"2,158",559
Ryzen 7 PRO 4700G with Radeon Graphics,"2,880",712
Ryzen 7 Pro 4750G with Radeon Graphics,"2,682",702
Ryzen 7 PRO 4750GE with Radeon Graphics,"2,550",683
Ryzen 7 PRO 4750U with Radeon Graphics,"2,028",548
Ryzen 7 PRO 5750G with Radeon Graphics,"2,591",894
Ryzen 7 PRO 5750GE with Radeon Graphics,"2,613",876
Ryzen 7 PRO 5850U with Radeon Graphics,"2,440",742
Ryzen 9 4900H with Radeon Graphics,"2,714",691
Ryzen 9 5900HS with Radeon Graphics,"5,049",576
Ryzen 9 5900HX with Radeon Graphics,"2,968",799
Ryzen 9 5980HS with Radeon Graphics,"2,534",830
S3 5400EW,145,10
S3 Chrome 430 ULP,40,310
S3 Chrome S25 DDR2,18,252
S3 Inc. Savage4,3,21
S3 ProSavageDDR,1,41
S3 SuperSavage/IXC 1014,2,147
SAPPHIRE RADEON 9000 ATLANTIS PRO,5,158
SAPPHIRE RADEON 9600 ATLANTIS,47,149
SAPPHIRE Radeon X1550,61,285
Sapphire RADEON X800 GT,113,274
Seria Mobility Radeon HD 3400,125,148
Seria Radeon HD 7700,"1,604",201
SUMO 9640,650,398
SUMO 9644,466,386
SUMO 964A,498,403
T1000,"7,833",833
T1000 8GB,"7,370",846
T1200 Laptop GPU,"7,899",370
T400,"3,645",572
T400 4GB,"3,848",789
T500,"3,602",294
T550 Laptop GPU,"4,894",364
T600,"6,511",729
T600 Laptop GPU,"6,725",334
TENSOR 1.0 Driver Intel HD 630,"1,300",873
Tesla C2050,"3,515",493
Tesla C2050 / C2070,"3,428",568
Tesla C2070,"3,101",494
Tesla C2075,"3,118",589
Tesla K20m,"5,675",377
Tesla K20Xm,"5,428",329
Tesla K40m,705,21
Tesla M10,"3,490",522
Tesla M2070-Q,"1,306",444
Tesla M40,"10,117",364
Tesla M40 24GB,"11,658",372
Tesla M6,"7,509",441
Tesla M60,"7,771",563
Tesla P100-PCIE-16GB,"7,225",572
Tesla T10,"13,264",624
Tesla T4,"11,113",567
Tesla V100-SXM2-16GB,"16,235",406
TITAN RTX,"20,169",844
TITAN V,"18,816",845
TITAN V CEO Edition,"16,988","1,086"
TITAN Xp,"19,508",992
TITAN Xp COLLECTORS EDITION,"18,721",924
TRINITY DEVASTATOR MOBILE,699,335
TRINITY SCRAPPER MOBILE,498,280
V9560XT V62.11,6,86
Vanta/Vanta LT,3,91
VIA Chrome9 HC IGP,4,167
VIA Chrome9 HC IGP Family,4,178
VIA Chrome9 HC IGP Family WDDM,4,165
VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,100
VIA Chrome9 HC IGP WDDM,3,144
VIA Chrome9 HC IGP WDDM 1.1,3,147
VIA Chrome9 HC3 IGP,3,157
VIA Chrome9 HCM IGP,2,94
VIA Chrome9 HD IGP,9,59
VIA/S3G C-645/640 GPU,163,122
VIA/S3G Chrome 645/640 GPU,110,161
VIA/S3G DeltaChrome IGP,3,125
VIA/S3G KM400/KN400,4,124
VIA/S3G UniChrome IGP,4,164
VIA/S3G UniChrome Pro IGP,5,164
VIA/S3G UniChromeII,6,225
VisionTek Radeon 7000,2,117
WinFast A250 LE,5,197
WinFast GT 610,212,558
Xabre,5,28
XFX Radeon HD 4650 AGP,110,138
XGI Volari Family v1.13.23.D_V,5,34
ZX Chrome 645/640 GPU,147,220
zxcvIntel HD 620,944,208
